key,summary,category,full_name,alert_warn_detail,alert_error_detail,acceptable,targeted,alert_warn_detail_cs,alert_error_detail_cs,acceptable_cs,targeted_cs,evaluate_type,format_type,is_species_specific,include_cumulative,alert_warn_name,alert_error_name,help_description
# Baseline Metrics
filtered_bcs_conf_mapped_barcoded_reads_cum_frac,TRUE,Square Calling,Fraction Reads in Squares Under Tissue,"Ideal > 75%. Application performance may be affected. Many of the reads were not assigned to tissue covered squares. This could be caused by high levels of ambient RNA resulting from inefficient permeabilization, because the incorrect image was used, or because of poor tissue detection. The latter case can be addressed by using the manual tissue selection option through Loupe. <i>Ignore this alert if you manually selected a subset of the tissue in the capture area, such as a single core punch in a TMA.</i>",alert_warn_detail,0.30,0.75,alert_warn_detail,alert_warn_detail,acceptable,targeted,gt,percentage,TRUE,FALSE,Low Fraction Gene Expression Reads in Squares,alert_warn_name,"The fraction of valid-barcode, confidently-mapped-to-probe-set reads with tissue-associated barcodes."
good_bc_frac,TRUE,Sequencing,Valid Barcodes,Ideal > 70%. This may indicate a quality issue with the R1 read for the Visium Chemistry. Application performance may be affected.,alert_warn_detail,0.25,0.70,alert_warn_detail,alert_warn_detail,acceptable,targeted,gt,percentage,FALSE,FALSE,Low Fraction Valid Barcodes,alert_warn_name,Fraction of reads with barcodes that match the whitelist after barcode correction.
estimated_gdna_content,TRUE,Sequencing,Estimated UMIs from Genomic DNA,Ideal < 20%. High gDNA levels were detected. Confirm that workflow was performed correctly and check tissue block quality.,alert_warn_detail,,0.20,alert_warn_detail,alert_warn_detail,acceptable,targeted,lt,percentage,FALSE,FALSE,High Estimated gDNA Content,alert_warn_name,The estimated fraction of filtered UMIs derived from genomic DNA based on the discordance between probes targeting exon-junction-spanning regions and non-exon-junction-spanning regions.
bc_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in Barcode,"Fraction of cell barcode bases (Illumina I7 Read for Single Cell 3' v1, R1 for Single Cell 3' v2/v3 and Single Cell 5') with Q-score >= 30 should be above 55%. A lower fraction might indicate poor sequencing quality.",alert_warn_detail,0.45,0.55,alert_warn_detail,alert_warn_detail,acceptable,targeted,gt,percentage,FALSE,,Fraction of cell barcode bases with Q-score >= 30 is low,alert_warn_name,"Fraction of cell barcode bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator."
num_genes_detected_on_target,TRUE,Targeting,Genes Detected,,,,,,,,,,int,,,,,The number of unique genes from the filtered probe set with at least one UMI count in any tissue covered square.
multi_cdna_pcr_dupe_reads_frac_on_target,FALSE,Sequencing,Sequencing Saturation,,,,,,,,,,percentage,FALSE,,,,"The fraction of reads originating from an already-observed UMI. This is a function of library complexity and sequencing depth. More specifically, this is the fraction of confidently mapped, valid square-barcode, valid UMI reads that had a non-unique square-barcode/UMI/gene combination."
# Binned Metrics
square_002um.bins_under_tissue,TRUE,Sequencing,Number of Squares Under Tissue 2 µm,,,,,,,,,,int,FALSE,FALSE,,,Number of 2µm squares coverd by tissue.
square_002um.mean_reads_per_bin,TRUE,Sequencing,Mean Reads Under Tissue per Square 2 µm,,,,,,,,,,float,FALSE,FALSE,,,Mean reads per 2µm square covered by tissue.
square_002um.bins_under_tissue_frac,TRUE,Sequencing,Fraction of Squares Under Tissue 2 µm,,,,,,,,,,percentage,FALSE,FALSE,,,Fraction of 2µm squares covered by tissue.
square_002um.mean_genes_per_bin,TRUE,Sequencing,Mean Genes Under Tissue per Square 2 µm,,,,,,,,,,float,FALSE,FALSE,,,Median genes detected per 2µm square covered by tissue.
