key,summary,category,full_name,alert_warn_detail,alert_error_detail,acceptable,targeted,alert_warn_detail_cs,alert_error_detail_cs,acceptable_cs,targeted_cs,evaluate_type,format_type,is_species_specific,include_cumulative,alert_warn_name,alert_error_name,help_description
sample_id,TRUE,Sample,Sample ID,,,,,,,,,,flat,FALSE,FALSE,,,The short name of the sample.
filtered_bcs_transcriptome_union,TRUE,Spot Calling,Number of Spots Under Tissue,"Ideal >20. This usually indicates poor tissue detection, poor library quality, or poor sequencing quality. Application performance is likely to be affected.",alert_warn_detail,-1,20,"Ideal > 20. This usually indicates poor tissue detection, poor library quality, or poor sequencing quality. Application performance is likely to be affected.",alert_warn_detail,acceptable,targeted,gt,int,FALSE,FALSE,Unusual Number of Spots Detected,alert_warn_name,The number of barcodes associated with a spot under tissue.
multi_transcriptome_total_raw_reads_per_filtered_bc,FALSE,Sensitivity,Mean Reads per Spot,,,,,,,,,,int,FALSE,FALSE,,,"The number of reads, both under and outside of tissue, divided by the number of barcodes associated with a spot under tissue."
sequenced_reads_count,TRUE,Sequencing,Number of Reads,,,,,,,,,,int,FALSE,FALSE,,,Total number of read pairs that were assigned to this library in demultiplexing.
reads_per_cell,TRUE,Sequencing,Mean Reads per Spot,,,,,,,,,,int,FALSE,FALSE,,,"The number of reads, both under and outside of tissue, divided by the number of barcodes associated with a spot under tissue."
filtered_reads_per_filtered_bc,TRUE,Sequencing,Mean Reads Under Tissue per Spot,"Modifying the parameter --rps-limit is not recommended. Please refer to the documentation.",alert_warn_detail,,16000,alert_warn_detail,alert_warn_detail,,targeted,lt,int,FALSE,FALSE,High Reads Under Tissue per Spot,alert_warn_name,The number of reads under tissue divided by the number of barcodes associated with a spot under tissue.
fraction_under_tissue,TRUE,Spot Calling,Fraction of Spots Under Tissue,,,,,,,,,,percentage,FALSE,FALSE,,,The fraction of the spots under the tissue.
fraction_bc_outside_image,FALSE,Spot Calling,Fraction Spots Outside Image,"This could indicate poor tissue alignment. If necessary, please use manual alignment via the <a href='https://www.10xgenomics.com/support/software/loupe-browser' target='_blank' title='Loupe Browser' rel='noopener noreferrer'>Loupe Browser</a>.",alert_warn_detail,,0.2,alert_warn_detail,alert_warn_detail,acceptable,targeted,lt,percentage,FALSE,FALSE,High Fraction Spots Under Tissue Outside Microsope Image Coordinates,alert_warn_name,Fraction of spots with corrdinates outside microscope image dimensions.
filtered_bcs_median_unique_genes_detected,TRUE,Sensitivity,Median Genes per Spot,,,,,,,,,,int,TRUE,FALSE,,,The median number of genes detected per spot under tissue-associated barcode. Detection is defined as the presence of at least 1 UMI count.
filtered_bcs_median_counts,TRUE,Spot Calling,Median UMI Counts per Spot,,,,,,,,,,int,TRUE,FALSE,,,The median number of UMI counts per tissue covered spot.
